"ano","fem","mas"
"2001","3380","7256"
"2002","3470","9225"
"2003","3881","11437"
"2004","5216","16574"
"2005","6455","21452"
"2006","6450","23400"
"2007","6432","26019"
"2008","6775","28505"
"2009","8955","36364"
"2010","7762","34714"
"2011","6902","33222"
"2012","7127","33420"
"2013","6448","31940"
"2014","6404","32938"
"2015","6638","34828"
"2016","6504","35508"
"2017","6175","33803"
